날짜,거래량
2015.02.02,228504
2015.01.30,314551
2015.01.29,447581
2015.01.28,204230
2015.01.27,534200
2015.01.26,86664
2015.01.23,229998
2015.01.22,227995
2015.01.21,321272
2015.01.20,152275
2015.01.19,254864
2015.01.16,168690
2015.01.15,333701
2015.01.14,111984
2015.01.13,167077
2015.01.12,220008
2015.01.09,156316
2015.01.08,156524
2015.01.07,118159
2015.01.06,182253
2015.01.05,214547
2015.01.02,158193
