날짜,거래량
2019.06.21,250403
2019.06.20,113485
2019.06.19,178210
2019.06.18,166994
2019.06.17,154214
2019.06.14,264126
2019.06.13,427740
2019.06.12,146360
2019.06.11,177067
2019.06.10,87982
2019.06.07,199521
2019.06.05,135298
2019.06.04,192292
2019.06.03,192009
2019.05.31,199799
2019.05.30,220567
2019.05.29,196087
2019.05.28,314967
2019.05.27,148651
2019.05.24,179773
2019.05.23,238209
2019.05.22,173611
2019.05.21,201057
2019.05.20,171888
2019.05.17,326019
2019.05.16,283253
2019.05.15,186563
2019.05.14,157790
2019.05.13,217820
2019.05.10,171176
2019.05.09,272105
2019.05.08,293786
2019.05.07,256891
2019.05.03,175741
2019.05.02,415571
2019.04.30,341511
2019.04.29,112467
2019.04.26,137611
2019.04.25,153394
2019.04.24,334409
2019.04.23,207108
2019.04.22,606366
2019.04.19,135396
2019.04.18,207025
2019.04.17,160614
2019.04.16,317663
2019.04.15,460881
2019.04.12,81480
2019.04.11,196948
2019.04.10,121778
2019.04.09,122436
2019.04.08,101844
2019.04.05,60334
2019.04.04,139343
2019.04.03,178278
2019.04.02,196503
2019.04.01,89623
2019.03.29,161574
2019.03.28,114472
2019.03.27,89315
2019.03.26,115011
2019.03.25,107979
2019.03.22,114437
2019.03.21,227563
2019.03.20,149934
2019.03.19,110602
2019.03.18,101381
2019.03.15,260415
2019.03.14,195493
2019.03.13,102356
2019.03.12,89614
2019.03.11,112681
2019.03.08,189990
2019.03.07,199487
2019.03.06,118392
2019.03.05,180319
2019.03.04,269503
2019.02.28,308114
2019.02.27,273761
2019.02.26,170201
2019.02.25,142074
2019.02.22,95345
2019.02.21,160054
2019.02.20,179330
2019.02.19,110017
2019.02.18,118965
2019.02.15,189053
2019.02.14,236362
2019.02.13,222326
2019.02.12,176156
2019.02.11,83128
2019.02.08,157408
2019.02.07,132633
2019.02.01,231415
2019.01.31,312430
2019.01.30,141859
2019.01.29,128922
2019.01.28,219833
2019.01.25,206787
2019.01.24,266026
2019.01.23,330599
2019.01.22,117885
2019.01.21,168067
2019.01.18,173875
2019.01.17,494902
2019.01.16,185780
2019.01.15,290859
2019.01.14,243758
2019.01.11,178115
2019.01.10,211560
2019.01.09,151559
2019.01.08,132034
2019.01.07,175355
2019.01.04,148487
2019.01.03,189257
2019.01.02,118196
2018.12.28,139309
2018.12.27,167357
2018.12.26,132277
2018.12.24,122303
2018.12.21,246397
2018.12.20,339690
2018.12.19,259678
2018.12.18,265938
2018.12.17,149296
2018.12.14,182624
2018.12.13,379774
2018.12.12,168036
2018.12.11,90062
2018.12.10,103918
2018.12.07,134778
2018.12.06,206858
2018.12.05,149132
2018.12.04,166354
2018.12.03,185700
2018.11.30,162826
2018.11.29,181445
2018.11.28,168435
2018.11.27,101528
2018.11.26,136855
2018.11.23,95873
2018.11.22,97060
2018.11.21,124784
2018.11.20,104323
2018.11.19,151812
2018.11.16,162390
2018.11.15,262641
2018.11.14,198994
2018.11.13,176018
2018.11.12,85594
2018.11.09,94848
